track_id,name,album_id,track_number,duration_ms,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6Tai2owBuWHcNXD00mQZi5,FAKE LOVE - Japanese ver. / Remix,1v6mgJ29d4Ta3ZUfF0P18W,3,246453,https://p.scdn.co/mp3-preview/a4f90abf5b81dd4d5ef1687004171038bcedcebd?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.558,0.762,2,-4.148,0,0.0604,0.032,0.0,0.283,0.37,154.875
2FWyJIT0gL2G3xWVQ9Id5f,Waste It On Me,1LZujBS60tTTtnHk0MAvcE,1,192536,https://p.scdn.co/mp3-preview/3f38a78b2bf15874899a6b4700e7c56fa2b8b10a?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
782ET7GKMVvNPBez4nsurW,FAKE LOVE (Rocking Vibe Mix),3znXuEXvpl674WIHuw0fbx,1,238494,https://p.scdn.co/mp3-preview/7ff34303a4d1df5f85b532ca4611a720271ab4d4?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.463,0.804,2,-4.009,0,0.0391,0.0573,0.0,0.432,0.352,154.913
0RF2i1nWqMHK0i3xIUAhfl,MIC Drop - Japanese ver.,03yfkUHGv0rY49Wz9mzloe,1,238680,https://p.scdn.co/mp3-preview/4a2435b0f4eb36ac6db34fc6713a64545766bfb9?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.662,0.913,3,-4.482,0,0.149,0.0157,0.0,0.131,0.636,169.956
1Z2uN2puf5Gd2PlVRbM2Yu,DNA - Japanese ver.,03yfkUHGv0rY49Wz9mzloe,2,224920,https://p.scdn.co/mp3-preview/4a25e4ab8523aed63fca3493bb859bbc6366fbe8?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.578,0.763,1,-3.612,0,0.0585,0.00336,0.0,0.0666,0.665,129.87
0NdYhK7ma3nu4krFkBsI5y,Crystal Snow,03yfkUHGv0rY49Wz9mzloe,3,322333,https://p.scdn.co/mp3-preview/e8045d110fdfc4561875038e1aae02fd3afba883?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.61,0.778,3,-4.501,1,0.0323,0.132,0.0,0.126,0.402,113.982
7Ed6BkggCS2KaKY5YlINaF,MIC Drop (feat. Desiigner) [Steve Aoki Remix],2TpvJhw6RYTTn4eDrAb3eJ,1,238726,https://p.scdn.co/mp3-preview/af5e216f90b95f0c232bc475d2286da9b3ad51f8?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.613,0.842,10,-4.332,0,0.219,0.0157,0.0,0.23,0.645,169.917
7msWZLyQtBaLhvsGB7j2hE,Danger - Japanese Ver.,4obhxC4Xdmg1b6kcMpW8fD,1,248693,https://p.scdn.co/mp3-preview/1980440ab32fded36dcce0e70bc2a2d0e9217701?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.727,0.847,1,-4.2,1,0.0517,0.000606,0.00109,0.107,0.413,112.051
0rsmEuuSVz47Qm6dpBxyes,Shingeki no Boudan - Sonpub Remix,4obhxC4Xdmg1b6kcMpW8fD,2,242466,https://p.scdn.co/mp3-preview/4a01edd8ecb6a89a40e39d9ad64b7a014824bf16?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.718,0.91,4,-3.125,0,0.181,0.00244,0.0,0.231,0.725,118.104
3uaBayF9P4kCFhMLPMqBQw,Miss Right - Japanese Ver.,4obhxC4Xdmg1b6kcMpW8fD,3,242093,https://p.scdn.co/mp3-preview/81cc2912c5da4e288738e65aa21039af75f5d3b2?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.693,0.806,1,-4.975,1,0.256,0.42,0.0,0.106,0.873,92.966
6Xs1YFAL7AFvnfoE1f7rPY,Boy In Luv - Japanese Ver.,6l0cl7IM7uuoNtdl9emYbw,1,232506,https://p.scdn.co/mp3-preview/6024bca21db17cd889fd8949c95d540494ce6d19?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.563,0.903,4,-5.089,0,0.144,0.00113,0.0,0.242,0.578,82.973
7jDYnvQi8DKsKavVuxkhVO,N.O - Japanese Ver.,6l0cl7IM7uuoNtdl9emYbw,2,211706,https://p.scdn.co/mp3-preview/5f9fb721a9238d62472ec269994b7994fefcd671?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.597,0.858,7,-6.244,1,0.14,0.029,0.0,0.136,0.588,146.983
3kd1357rEgCETWCHySPj1l,Just One Day - Japanese Ver.,6l0cl7IM7uuoNtdl9emYbw,3,241040,https://p.scdn.co/mp3-preview/d1fd568830ee84d84ee11b419bf62371e457cd3f?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.694,0.579,9,-7.567,1,0.232,0.0615,0.0,0.0901,0.34,94.937
5dEaQCUCJIQyJs5qVZYXOC,Come Back Home,1G3HTdPaeUIL6l3mo3q8N8,1,244587,https://p.scdn.co/mp3-preview/bdca9c4f4f7fc945b6d52c25812578bbf3406318?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.647,0.881,11,-4.42,0,0.0765,0.00154,1.12e-06,0.113,0.456,100.001
1OVUCNaV0gdltLjbpsoZwH,血、汗、涙 - Japanese ver.,1rxOBsRqYTRBhltSLWjseF,1,215053,https://p.scdn.co/mp3-preview/32b3c80976834c0c842541c9228c63a5d7a11814?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.553,0.897,0,-2.889,0,0.0761,0.0447,0.0,0.379,0.574,92.99
7tHMnD6UuU9sNR1zlSJ6Lp,Not Today - Japanese ver.,1rxOBsRqYTRBhltSLWjseF,2,232133,https://p.scdn.co/mp3-preview/600c874c5be5e80712693a5779e8d9a7dc58890f?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.591,0.955,8,-2.953,1,0.143,0.00188,0.0,0.963,0.641,110.063
0I08kzlwHEkBNCioRjODFc,Spring Day - Japanese ver.,1rxOBsRqYTRBhltSLWjseF,3,274160,https://p.scdn.co/mp3-preview/39791698db68bb8d0e4a2847965712c54947230e?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.548,0.837,0,-2.99,0,0.0364,0.015,0.0,0.13,0.327,107.004
70vhVEisB5n2HaX6V7Pl9R,Run - Japanese Ver.,1Za3UxQMhgKeO8QNsVwzRt,1,239230,https://p.scdn.co/mp3-preview/edee079330c913e7dc0aff98b4e7676bbb3c0bf4?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.544,0.852,11,-3.406,0,0.0378,0.000742,0.000152,0.0991,0.591,132.979
4C5gHVYvSSJRPsunMJqdsd,Butterfly - Japanese Ver.,1Za3UxQMhgKeO8QNsVwzRt,2,241866,https://p.scdn.co/mp3-preview/0e60e6516dd0f9e49875ce04a9fcc5c287877e8c?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.289,0.788,1,-4.452,1,0.0718,0.0218,0.0,0.0553,0.231,69.552
3KWYKrNuIGg2QmlwLBkrTF,Good Day,1Za3UxQMhgKeO8QNsVwzRt,3,268786,https://p.scdn.co/mp3-preview/ad7b3a8a6b04325d8b3411506b014deca7203111?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.611,0.855,6,-4.722,1,0.0496,0.00953,0.0,0.0901,0.708,94.957
1NpkP0qImfVoMfjOgWKSG9,I Need U - Japanese Ver.,71mivOtJblgvlGqvAPRJyw,1,212226,https://p.scdn.co/mp3-preview/0d7e39903c2547f8c054f7bebf174d7014192f4d?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.487,0.872,5,-3.795,0,0.073,0.0141,0.0,0.278,0.702,158.03
2fSwgOUqFqewuYiLKOtV85,Dope - Chou Yabee! - - Japanese Ver.,71mivOtJblgvlGqvAPRJyw,2,241680,https://p.scdn.co/mp3-preview/da859170a4a50edca92600872aa24e55bd93d208?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.579,0.901,10,-3.572,0,0.231,0.0313,0.0,0.477,0.539,154.071
4Bd0mwRVIPe1MYUE20cZPK,Funtan Syounendan - Japanese Ver.,71mivOtJblgvlGqvAPRJyw,3,245120,https://p.scdn.co/mp3-preview/69610ec4ce0e6d10d46e9778b4d8282f5b052fac?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.683,0.96,8,-3.668,0,0.192,0.0448,0.0,0.372,0.714,116.05
43x0i2PPXrmOGTTgoyqGNZ,For You,3dviBwFcDYCcpXUbeacrIl,1,285066,https://p.scdn.co/mp3-preview/d07f52981740be72fadb6ddaa2263e05c244f5b5?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.554,0.814,4,-4.312,1,0.211,0.477,0.0,0.111,0.572,166.064
0zFiJHcn41PbBeU4pYJdNF,Hormone Sensou - Japanese Ver.,3dviBwFcDYCcpXUbeacrIl,2,268400,https://p.scdn.co/mp3-preview/8bce9c8125a8ea49ad2300afa26dae4a604471a5?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.634,0.996,9,-1.108,1,0.254,0.161,0.0,0.331,0.401,97.976
07RpaipQDG3p4kSEZZVzf9,Let Me Know - Japanese Ver.,3dviBwFcDYCcpXUbeacrIl,3,256533,https://p.scdn.co/mp3-preview/2ec5f2e56b231aa75d8c3f942e66db3cf7ef4898?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.442,0.831,11,-4.32,0,0.272,0.0285,0.0,0.275,0.245,135.998
1mD6sDkMeumRzpVF73QrlE,No More Dream - Japanese Ver.,5x3pRdlUUVG0eHAMDkW39a,1,221293,https://p.scdn.co/mp3-preview/a51370c6c93b37fd8e3d652d617c6797f2d0ce33?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.666,0.863,2,-4.403,1,0.408,0.0222,0.0,0.452,0.616,167.916
2ysIgQwwy1dciVCG1sBrNy,Shingeki no Boudan - Japanese Ver.,5x3pRdlUUVG0eHAMDkW39a,2,247120,https://p.scdn.co/mp3-preview/713d73dc7546dfc929cf36b698427c8db3f81a9b?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.645,0.972,11,-3.029,0,0.338,0.0422,0.0,0.178,0.57,118.101
2iKJS8ni19b9YC2tIdorJ6,Iine!,5x3pRdlUUVG0eHAMDkW39a,3,233480,https://p.scdn.co/mp3-preview/f0dbfdf1348e1a6d33764fc03bae552b95986959?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.71,0.691,3,-5.56,1,0.168,0.241,0.0,0.0977,0.702,100.778
